num_carton;operateur;n_serie_concentrateur;affectation;etat;poste_pose;date_affectation;date_pose;date_dernier_etat
CB71B1147860;Bouygues;KB71O205719;Magasin;en_livraison;;01/03/2025;;01/03/2025
CB71B1147861;Bouygues;KB71O205720;Magasin;en_livraison;;12/05/2024;;12/05/2024
CB71B1147861;Bouygues;KB71O205721;BO Centre;en_stock;;14/09/2024;;14/09/2024
CB71B1147861;Bouygues;KB71O205722;BO Centre;en_stock;;29/06/2023;;29/06/2023
CB71B1147861;Bouygues;KB71O205723;BO Centre;en_stock;;22/03/2025;;22/03/2025
CB71B1147862;Bouygues;KB71O205724;BO Centre;en_stock;;21/09/2023;;21/09/2023
CB71B1147862;Bouygues;KB71O205725;BO Centre;en_stock;;01/05/2024;;01/05/2024
CB71B1147862;Bouygues;KB71O205726;BO Centre;en_stock;;11/11/2024;;11/11/2024
CB71B1147862;Bouygues;KB71O205727;BO Centre;en_stock;;16/12/2023;;16/12/2023
CB71B1147863;Bouygues;KB71O205728;BO Centre;en_stock;;30/01/2024;;30/01/2024
CB71B1147863;Bouygues;KB71O205729;BO Centre;en_stock;;11/10/2024;;11/10/2024
CB71B1147863;Bouygues;KB71O205730;BO Centre;en_stock;;29/05/2024;;29/05/2024
CB71B1147863;Bouygues;KB71O205731;BO Centre;en_stock;;03/05/2024;;03/05/2024
CB71B1147864;Bouygues;KB71O205732;BO Centre;en_stock;;14/07/2024;;14/07/2024
CB71B1147864;Bouygues;KB71O205733;BO Centre;en_stock;;27/04/2024;;27/04/2024
CB71B1147864;Bouygues;KB71O205734;BO Centre;en_stock;;30/04/2025;;30/04/2025
CB71B1147864;Bouygues;KB71O205735;BO Centre;en_stock;;13/03/2024;;13/03/2024
CB71B1147865;Bouygues;KB71O205736;BO Centre;en_stock;;23/05/2024;;23/05/2024
CB71B1147865;Bouygues;KB71O205737;BO Centre;en_stock;;14/12/2023;;14/12/2023
CB71B1147865;Bouygues;KB71O205738;BO Centre;en_stock;;22/09/2023;;22/09/2023
CB71B1147865;Bouygues;KB71O205739;BO Centre;en_stock;;19/11/2024;;19/11/2024
CB71B1147866;Bouygues;KB71O205740;BO Centre;en_stock;;14/12/2024;;14/12/2024
CB71B1147866;Bouygues;KB71O205741;BO Centre;en_stock;;26/11/2023;;26/11/2023
CB71B1147866;Bouygues;KB71O205742;BO Centre;en_stock;;21/06/2023;;21/06/2023
CB71B1147866;Bouygues;KB71O205743;BO Centre;en_stock;;23/07/2023;;23/07/2023
CB71B1147867;Bouygues;KB71O205744;BO Centre;en_stock;;16/05/2024;;16/05/2024
CB71B1147867;Bouygues;KB71O205745;BO Centre;en_stock;;02/10/2023;;02/10/2023
CB71B1147867;Bouygues;KB71O205746;BO Centre;en_stock;;04/04/2024;;04/04/2024
CB71B1147867;Bouygues;KB71O205747;BO Centre;en_stock;;07/10/2024;;07/10/2024
CB71B1147868;Bouygues;KB71O205748;BO Centre;en_stock;;13/01/2025;;13/01/2025
CB71B1147868;Bouygues;KB71O205749;BO Centre;en_stock;;17/11/2023;;17/11/2023
CB71B1147868;Bouygues;KB71O205750;BO Centre;en_stock;;12/08/2023;;12/08/2023
CB71B1147868;Bouygues;KB71O205751;BO Centre;en_stock;;18/03/2024;;18/03/2024
CB71B1147869;Bouygues;KB71O205752;BO Centre;en_stock;;25/07/2024;;25/07/2024
CB71B1147869;Bouygues;KB71O205753;BO Centre;en_stock;;22/02/2024;;22/02/2024
CB71B1147869;Bouygues;KB71O205754;BO Centre;en_stock;;26/09/2023;;26/09/2023
CB71B1147869;Bouygues;KB71O205755;BO Centre;en_stock;;25/06/2023;;25/06/2023
CB71B1147870;Bouygues;KB71O205756;BO Centre;en_stock;;20/03/2024;;20/03/2024
CB71B1147870;Bouygues;KB71O205757;BO Centre;en_stock;;21/11/2023;;21/11/2023
CB71B1147681;Bouygues;KB71O205000;BO Centre;pose;DP010001;24/09/2021;24/09/2021;24/09/2021
CB71B1147681;Bouygues;KB71O205001;BO Centre;pose;DP010002;08/04/2023;08/04/2023;08/04/2023
CB71B1147681;Bouygues;KB71O205002;BO Centre;pose;DP010003;25/05/2020;25/05/2020;25/05/2020
CB71B1147681;Bouygues;KB71O205003;BO Centre;pose;DP010004;27/02/2022;27/02/2022;27/02/2022
CB71B1147682;Bouygues;KB71O205004;BO Centre;pose;DP010005;06/12/2022;06/12/2022;06/12/2022
CB71B1147682;Bouygues;KB71O205005;BO Centre;pose;DP010006;26/08/2019;26/08/2019;26/08/2019
CB71B1147682;Bouygues;KB71O205006;BO Centre;pose;DP010007;01/09/2022;01/09/2022;01/09/2022
CB71B1147682;Bouygues;KB71O205007;BO Centre;pose;DP010008;08/01/2020;08/01/2020;08/01/2020
CB71B1147683;Bouygues;KB71O205008;BO Centre;pose;DP010009;11/08/2022;11/08/2022;11/08/2022
CB71B1147683;Bouygues;KB71O205009;BO Centre;pose;DP010010;13/11/2020;13/11/2020;13/11/2020
CB71B1147683;Bouygues;KB71O205010;BO Centre;pose;DP010011;08/04/2020;08/04/2020;08/04/2020
CB71B1147683;Bouygues;KB71O205011;BO Centre;pose;DP010012;26/02/2022;26/02/2022;26/02/2022
CB71B1147684;Bouygues;KB71O205012;BO Centre;pose;DP010013;11/09/2020;11/09/2020;11/09/2020
CB71B1147684;Bouygues;KB71O205013;BO Centre;pose;DP010014;07/10/2019;07/10/2019;07/10/2019
CB71B1147684;Bouygues;KB71O205014;BO Centre;pose;DP010015;17/05/2022;17/05/2022;17/05/2022
CB71B1147684;Bouygues;KB71O205015;BO Centre;pose;DP010016;20/11/2022;20/11/2022;20/11/2022
CB71B1147685;Bouygues;KB71O205016;BO Centre;pose;DP010017;16/03/2022;16/03/2022;16/03/2022
CB71B1147685;Bouygues;KB71O205017;BO Centre;pose;DP010018;30/12/2021;30/12/2021;30/12/2021
CB71B1147685;Bouygues;KB71O205018;BO Centre;pose;DP010019;21/02/2020;21/02/2020;21/02/2020
CB71B1147685;Bouygues;KB71O205019;BO Centre;pose;DP010020;12/09/2019;12/09/2019;12/09/2019
CB71B1147686;Bouygues;KB71O205020;BO Centre;pose;DP010021;03/10/2021;03/10/2021;03/10/2021
CB71B1147686;Bouygues;KB71O205021;BO Centre;pose;DP010022;23/04/2020;23/04/2020;23/04/2020
CB71B1147686;Bouygues;KB71O205022;BO Centre;pose;DP010023;01/12/2019;01/12/2019;01/12/2019
CB71B1147686;Bouygues;KB71O205023;BO Centre;pose;DP010024;29/07/2020;29/07/2020;29/07/2020
CB71B1147687;Bouygues;KB71O205024;BO Centre;pose;DP010025;25/08/2019;25/08/2019;25/08/2019
CB71B1147687;Bouygues;KB71O205025;BO Centre;pose;DP010026;21/03/2023;21/03/2023;21/03/2023
CB71B1147687;Bouygues;KB71O205026;BO Centre;pose;DP010027;04/08/2022;04/08/2022;04/08/2022
CB71B1147687;Bouygues;KB71O205027;BO Centre;pose;DP010028;16/01/2020;16/01/2020;16/01/2020
CB71B1147688;Bouygues;KB71O205028;BO Centre;pose;DP010029;14/11/2019;14/11/2019;14/11/2019
CB71B1147688;Bouygues;KB71O205029;BO Centre;pose;DP010030;08/05/2023;08/05/2023;08/05/2023
CB71B1147688;Bouygues;KB71O205030;BO Centre;pose;DP010031;13/02/2023;13/02/2023;13/02/2023
CB71B1147688;Bouygues;KB71O205031;BO Centre;pose;DP010032;28/05/2023;28/05/2023;28/05/2023
CB71B1147689;Bouygues;KB71O205032;BO Centre;pose;DP010033;27/12/2019;27/12/2019;27/12/2019
CB71B1147689;Bouygues;KB71O205033;BO Centre;pose;DP010034;05/06/2021;05/06/2021;05/06/2021
CB71B1147689;Bouygues;KB71O205034;BO Centre;pose;DP010035;11/12/2022;11/12/2022;11/12/2022
CB71B1147689;Bouygues;KB71O205035;BO Centre;pose;DP010036;15/02/2021;15/02/2021;15/02/2021
CB71B1147690;Bouygues;KB71O205036;BO Centre;pose;DP010037;24/11/2021;24/11/2021;24/11/2021
CB71B1147690;Bouygues;KB71O205037;BO Centre;pose;DP010038;08/03/2023;08/03/2023;08/03/2023
CB71B1147690;Bouygues;KB71O205038;BO Centre;pose;DP010039;01/11/2021;01/11/2021;01/11/2021
CB71B1147690;Bouygues;KB71O205039;BO Centre;pose;DP010040;11/05/2022;11/05/2022;11/05/2022
CB71B1147691;Bouygues;KB71O205040;BO Centre;pose;DP010041;13/06/2021;13/06/2021;13/06/2021
CB71B1147691;Bouygues;KB71O205041;BO Centre;pose;DP010042;25/05/2021;25/05/2021;25/05/2021
CB71B1147691;Bouygues;KB71O205042;BO Centre;pose;DP010043;16/08/2022;16/08/2022;16/08/2022
CB71B1147691;Bouygues;KB71O205043;BO Centre;pose;DP010044;26/04/2022;26/04/2022;26/04/2022
CB71B1147692;Bouygues;KB71O205044;BO Centre;pose;DP010045;18/10/2020;18/10/2020;18/10/2020
CB71B1147692;Bouygues;KB71O205045;BO Centre;pose;DP010046;13/07/2019;13/07/2019;13/07/2019
CB71B1147692;Bouygues;KB71O205046;BO Centre;pose;DP010047;01/04/2020;01/04/2020;01/04/2020
CB71B1147692;Bouygues;KB71O205047;BO Centre;pose;DP010048;25/07/2022;25/07/2022;25/07/2022
CB71B1147693;Bouygues;KB71O205048;BO Centre;pose;DP010049;19/05/2020;19/05/2020;19/05/2020
CB71B1147693;Bouygues;KB71O205049;BO Centre;pose;DP010050;10/02/2023;10/02/2023;10/02/2023
CB71B1147693;Bouygues;KB71O205050;BO Centre;pose;DP010051;18/03/2023;18/03/2023;18/03/2023
CB71B1147693;Bouygues;KB71O205051;BO Centre;pose;DP010052;23/05/2022;23/05/2022;23/05/2022
CB71B1147694;Bouygues;KB71O205052;BO Centre;pose;DP010053;07/05/2023;07/05/2023;07/05/2023
CB71B1147694;Bouygues;KB71O205053;BO Centre;pose;DP010054;09/04/2020;09/04/2020;09/04/2020
CB71B1147694;Bouygues;KB71O205054;BO Centre;pose;DP010055;08/08/2019;08/08/2019;08/08/2019
CB71B1147694;Bouygues;KB71O205055;BO Centre;pose;DP010056;30/11/2019;30/11/2019;30/11/2019
CB71B1147695;Bouygues;KB71O205056;BO Centre;pose;DP010057;26/06/2022;26/06/2022;26/06/2022
CB71B1147695;Bouygues;KB71O205057;BO Centre;pose;DP010058;17/12/2019;17/12/2019;17/12/2019
CB71B1147695;Bouygues;KB71O205058;BO Centre;pose;DP010059;12/03/2023;12/03/2023;12/03/2023
CB71B1147695;Bouygues;KB71O205059;BO Centre;pose;DP010060;06/10/2020;06/10/2020;06/10/2020
CB71B1147696;Bouygues;KB71O205060;BO Centre;pose;DP010061;05/02/2020;05/02/2020;05/02/2020
CB71B1147696;Bouygues;KB71O205061;BO Centre;pose;DP010062;14/08/2021;14/08/2021;14/08/2021
CB71B1147696;Bouygues;KB71O205062;BO Centre;pose;DP010063;23/08/2020;23/08/2020;23/08/2020
CB71B1147696;Bouygues;KB71O205063;BO Centre;pose;DP010064;28/04/2020;28/04/2020;28/04/2020
CB71B1147697;Bouygues;KB71O205064;BO Centre;pose;DP010065;02/05/2022;02/05/2022;02/05/2022
CB71B1147697;Bouygues;KB71O205065;BO Centre;pose;DP010066;09/05/2022;09/05/2022;09/05/2022
CB71B1147697;Bouygues;KB71O205066;BO Centre;pose;DP010067;12/11/2022;12/11/2022;12/11/2022
CB71B1147697;Bouygues;KB71O205067;BO Centre;pose;DP010068;14/12/2020;14/12/2020;14/12/2020
CB71B1147698;Bouygues;KB71O205068;BO Centre;pose;DP010069;16/12/2021;16/12/2021;16/12/2021
CB71B1147698;Bouygues;KB71O205069;BO Centre;pose;DP010070;22/09/2019;22/09/2019;22/09/2019
CB71B1147698;Bouygues;KB71O205070;BO Centre;pose;DP010071;19/04/2021;19/04/2021;19/04/2021
CB71B1147698;Bouygues;KB71O205071;BO Centre;pose;DP010072;05/05/2021;05/05/2021;05/05/2021
CB71B1147699;Bouygues;KB71O205072;BO Centre;pose;DP010073;17/08/2021;17/08/2021;17/08/2021
CB71B1147699;Bouygues;KB71O205073;BO Centre;pose;DP010074;19/03/2021;19/03/2021;19/03/2021
CB71B1147699;Bouygues;KB71O205074;BO Centre;pose;DP010075;27/11/2021;27/11/2021;27/11/2021
CB71B1147699;Bouygues;KB71O205075;BO Centre;pose;DP010076;12/11/2021;12/11/2021;12/11/2021
CB71B1147700;Bouygues;KB71O205076;BO Centre;pose;DP010077;22/01/2023;22/01/2023;22/01/2023
CB71B1147700;Bouygues;KB71O205077;BO Centre;pose;DP010078;10/05/2020;10/05/2020;10/05/2020
CB71B1147700;Bouygues;KB71O205078;BO Centre;pose;DP010079;24/07/2021;24/07/2021;24/07/2021
CB71B1147700;Bouygues;KB71O205079;BO Centre;pose;DP010080;08/02/2021;08/02/2021;08/02/2021
CB71B1147701;Bouygues;KB71O205080;BO Centre;pose;DP010081;22/11/2021;22/11/2021;22/11/2021
CB71B1147701;Bouygues;KB71O205081;BO Centre;pose;DP010082;25/11/2020;25/11/2020;25/11/2020
CB71B1147701;Bouygues;KB71O205082;BO Centre;pose;DP010083;08/08/2020;08/08/2020;08/08/2020
CB71B1147701;Bouygues;KB71O205083;BO Centre;pose;DP010084;15/07/2020;15/07/2020;15/07/2020
CB71B1147702;Bouygues;KB71O205084;BO Centre;pose;DP010085;07/02/2021;07/02/2021;07/02/2021
CB71B1147702;Bouygues;KB71O205085;BO Centre;pose;DP010086;17/01/2021;17/01/2021;17/01/2021
CB71B1147702;Bouygues;KB71O205086;BO Centre;pose;DP010087;31/05/2023;31/05/2023;31/05/2023
CB71B1147702;Bouygues;KB71O205087;BO Centre;pose;DP010088;05/05/2023;05/05/2023;05/05/2023
CB71B1147703;Bouygues;KB71O205088;BO Centre;pose;DP010089;05/12/2021;05/12/2021;05/12/2021
CB71B1147703;Bouygues;KB71O205089;BO Centre;pose;DP010090;17/08/2019;17/08/2019;17/08/2019
CB71B1147703;Bouygues;KB71O205090;BO Centre;pose;DP010091;29/12/2022;29/12/2022;29/12/2022
CB71B1147703;Bouygues;KB71O205091;BO Centre;pose;DP010092;17/01/2021;17/01/2021;17/01/2021
CB71B1147704;Bouygues;KB71O205092;BO Centre;pose;DP010093;25/08/2022;25/08/2022;25/08/2022
CB71B1147704;Bouygues;KB71O205093;BO Centre;pose;DP010094;03/11/2019;03/11/2019;03/11/2019
CB71B1147704;Bouygues;KB71O205094;BO Centre;pose;DP010095;29/10/2020;29/10/2020;29/10/2020
CB71B1147704;Bouygues;KB71O205095;BO Centre;pose;DP010096;21/08/2019;21/08/2019;21/08/2019
CB71B1147705;Bouygues;KB71O205096;BO Centre;pose;DP010097;28/06/2021;28/06/2021;28/06/2021
CB71B1147705;Bouygues;KB71O205097;BO Centre;pose;DP010098;01/02/2020;01/02/2020;01/02/2020
CB71B1147705;Bouygues;KB71O205098;BO Centre;pose;DP010099;22/06/2020;22/06/2020;22/06/2020
CB71B1147705;Bouygues;KB71O205099;BO Centre;pose;DP010100;21/11/2019;21/11/2019;21/11/2019
CB71B1147706;Bouygues;KB71O205100;BO Centre;pose;DP010101;26/12/2020;26/12/2020;26/12/2020
CB71B1147706;Bouygues;KB71O205101;BO Centre;pose;DP010102;22/05/2023;22/05/2023;22/05/2023
CB71B1147706;Bouygues;KB71O205102;BO Centre;pose;DP010103;21/02/2021;21/02/2021;21/02/2021
CB71B1147706;Bouygues;KB71O205103;BO Centre;pose;DP010104;06/04/2021;06/04/2021;06/04/2021
CB71B1147707;Bouygues;KB71O205104;BO Centre;pose;DP010105;14/01/2022;14/01/2022;14/01/2022
CB71B1147707;Bouygues;KB71O205105;BO Centre;pose;DP010106;27/02/2020;27/02/2020;27/02/2020
CB71B1147707;Bouygues;KB71O205106;BO Centre;pose;DP010107;25/05/2020;25/05/2020;25/05/2020
CB71B1147707;Bouygues;KB71O205107;BO Centre;pose;DP010108;14/01/2020;14/01/2020;14/01/2020
CB71B1147708;Bouygues;KB71O205108;BO Centre;pose;DP010109;24/03/2021;24/03/2021;24/03/2021
CB71B1147708;Bouygues;KB71O205109;BO Centre;pose;DP010110;29/11/2020;29/11/2020;29/11/2020
CB71B1147708;Bouygues;KB71O205110;BO Centre;pose;DP010111;16/01/2023;16/01/2023;16/01/2023
CB71B1147708;Bouygues;KB71O205111;BO Centre;pose;DP010112;03/05/2022;03/05/2022;03/05/2022
CB71B1147709;Bouygues;KB71O205112;BO Centre;pose;DP010113;22/11/2020;22/11/2020;22/11/2020
CB71B1147709;Bouygues;KB71O205113;BO Centre;pose;DP010114;11/05/2020;11/05/2020;11/05/2020
CB71B1147709;Bouygues;KB71O205114;BO Centre;pose;DP010115;29/05/2021;29/05/2021;29/05/2021
CB71B1147709;Bouygues;KB71O205115;BO Centre;pose;DP010116;04/01/2022;04/01/2022;04/01/2022
CB71B1147710;Bouygues;KB71O205116;BO Centre;pose;DP010117;19/11/2019;19/11/2019;19/11/2019
CB71B1147710;Bouygues;KB71O205117;BO Centre;pose;DP010118;16/10/2020;16/10/2020;16/10/2020
CB71B1147710;Bouygues;KB71O205118;BO Centre;pose;DP010119;04/08/2019;04/08/2019;04/08/2019
CB71B1147710;Bouygues;KB71O205119;BO Centre;pose;DP010120;18/04/2023;18/04/2023;18/04/2023
CB71B1147711;Bouygues;KB71O205120;BO Centre;pose;DP010121;09/08/2022;09/08/2022;09/08/2022
CB71B1147711;Bouygues;KB71O205121;BO Centre;pose;DP010122;10/07/2023;10/07/2023;10/07/2023
CB71B1147711;Bouygues;KB71O205122;BO Centre;pose;DP010123;04/11/2022;04/11/2022;04/11/2022
CB71B1147711;Bouygues;KB71O205123;BO Centre;pose;DP010124;18/03/2021;18/03/2021;18/03/2021
CB71B1147712;Bouygues;KB71O205124;BO Centre;pose;DP010125;08/07/2020;08/07/2020;08/07/2020
CB71B1147712;Bouygues;KB71O205125;BO Centre;pose;DP010126;18/02/2020;18/02/2020;18/02/2020
CB71B1147712;Bouygues;KB71O205126;BO Centre;pose;DP010127;14/07/2022;14/07/2022;14/07/2022
CB71B1147712;Bouygues;KB71O205127;BO Centre;pose;DP010128;15/09/2019;15/09/2019;15/09/2019
CB71B1147713;Bouygues;KB71O205128;BO Centre;pose;DP010129;04/06/2020;04/06/2020;04/06/2020
CB71B1147713;Bouygues;KB71O205129;BO Centre;pose;DP010130;27/08/2022;27/08/2022;27/08/2022
CB71B1147713;Bouygues;KB71O205130;BO Centre;pose;DP010131;02/11/2020;02/11/2020;02/11/2020
CB71B1147713;Bouygues;KB71O205131;BO Centre;pose;DP010132;29/10/2021;29/10/2021;29/10/2021
CB71B1147714;Bouygues;KB71O205132;BO Centre;pose;DP010133;26/11/2019;26/11/2019;26/11/2019
CB71B1147714;Bouygues;KB71O205133;BO Centre;pose;DP010134;18/12/2019;18/12/2019;18/12/2019
CB71B1147714;Bouygues;KB71O205134;BO Centre;pose;DP010135;11/10/2019;11/10/2019;11/10/2019
CB71B1147714;Bouygues;KB71O205135;BO Centre;pose;DP010136;16/05/2020;16/05/2020;16/05/2020
CB71B1147715;Bouygues;KB71O205136;BO Centre;pose;DP010137;27/07/2020;27/07/2020;27/07/2020
CB71B1147715;Bouygues;KB71O205137;BO Centre;pose;DP010138;22/04/2020;22/04/2020;22/04/2020
CB71B1147715;Bouygues;KB71O205138;BO Centre;pose;DP010139;27/06/2023;27/06/2023;27/06/2023
CB71B1147715;Bouygues;KB71O205139;BO Centre;pose;DP010140;20/02/2023;20/02/2023;20/02/2023
CB71B1147716;Bouygues;KB71O205140;BO Centre;pose;DP010141;28/03/2021;28/03/2021;28/03/2021
CB71B1147716;Bouygues;KB71O205141;BO Centre;pose;DP010142;08/05/2022;08/05/2022;08/05/2022
CB71B1147716;Bouygues;KB71O205142;BO Centre;pose;DP010143;18/10/2019;18/10/2019;18/10/2019
CB71B1147716;Bouygues;KB71O205143;BO Centre;pose;DP010144;30/12/2020;30/12/2020;30/12/2020
CB71B1147717;Bouygues;KB71O205144;BO Centre;pose;DP010145;14/07/2020;14/07/2020;14/07/2020
CB71B1147717;Bouygues;KB71O205145;BO Centre;pose;DP010146;31/03/2021;31/03/2021;31/03/2021
CB71B1147717;Bouygues;KB71O205146;BO Centre;pose;DP010147;11/07/2021;11/07/2021;11/07/2021
CB71B1147717;Bouygues;KB71O205147;BO Centre;pose;DP010148;10/09/2021;10/09/2021;10/09/2021
CB71B1147718;Bouygues;KB71O205148;BO Centre;pose;DP010149;10/08/2021;10/08/2021;10/08/2021
CB71B1147718;Bouygues;KB71O205149;BO Centre;pose;DP010150;10/04/2020;10/04/2020;10/04/2020
CB71B1147718;Bouygues;KB71O205150;BO Centre;pose;DP010151;15/03/2022;15/03/2022;15/03/2022
CB71B1147718;Bouygues;KB71O205151;BO Centre;pose;DP010152;04/11/2022;04/11/2022;04/11/2022
CB71B1147719;Bouygues;KB71O205152;BO Centre;pose;DP010153;01/11/2021;01/11/2021;01/11/2021
CB71B1147719;Bouygues;KB71O205153;BO Centre;pose;DP010154;02/05/2023;02/05/2023;02/05/2023
CB71B1147719;Bouygues;KB71O205154;BO Centre;pose;DP010155;08/10/2022;08/10/2022;08/10/2022
CB71B1147719;Bouygues;KB71O205155;BO Centre;pose;DP010156;06/04/2023;06/04/2023;06/04/2023
CB71B1147720;Bouygues;KB71O205156;BO Centre;pose;DP010157;01/02/2023;01/02/2023;01/02/2023
CB71B1147720;Bouygues;KB71O205157;BO Centre;pose;DP010158;09/12/2022;09/12/2022;09/12/2022
CB71B1147720;Bouygues;KB71O205158;BO Centre;pose;DP010159;26/06/2023;26/06/2023;26/06/2023
CB71B1147720;Bouygues;KB71O205159;BO Centre;pose;DP010160;10/11/2022;10/11/2022;10/11/2022
CB71B1147721;Bouygues;KB71O205160;BO Centre;pose;DP010161;20/10/2022;20/10/2022;20/10/2022
CB71B1147721;Bouygues;KB71O205161;BO Centre;pose;DP010162;08/09/2020;08/09/2020;08/09/2020
CB71B1147721;Bouygues;KB71O205162;BO Centre;pose;DP010163;06/06/2023;06/06/2023;06/06/2023
CB71B1147721;Bouygues;KB71O205163;BO Centre;pose;DP010164;19/06/2021;19/06/2021;19/06/2021
CB71B1147722;Bouygues;KB71O205164;BO Centre;pose;DP010165;13/07/2022;13/07/2022;13/07/2022
CB71B1147722;Bouygues;KB71O205165;BO Centre;pose;DP010166;24/06/2020;24/06/2020;24/06/2020
CB71B1147722;Bouygues;KB71O205166;BO Centre;pose;DP010167;29/06/2021;29/06/2021;29/06/2021
CB71B1147722;Bouygues;KB71O205167;BO Centre;pose;DP010168;23/07/2022;23/07/2022;23/07/2022
CB71B1147723;Bouygues;KB71O205168;BO Centre;pose;DP010169;26/05/2023;26/05/2023;26/05/2023
CB71B1147723;Bouygues;KB71O205169;BO Centre;pose;DP010170;27/06/2021;27/06/2021;27/06/2021
CB71B1147723;Bouygues;KB71O205170;BO Centre;pose;DP010171;18/05/2020;18/05/2020;18/05/2020
CB71B1147723;Bouygues;KB71O205171;BO Centre;pose;DP010172;12/07/2021;12/07/2021;12/07/2021
CB71B1147724;Bouygues;KB71O205172;BO Centre;pose;DP010173;10/09/2019;10/09/2019;10/09/2019
CB71B1147724;Bouygues;KB71O205173;BO Centre;pose;DP010174;22/04/2020;22/04/2020;22/04/2020
CB71B1147724;Bouygues;KB71O205174;BO Centre;pose;DP010175;04/04/2022;04/04/2022;04/04/2022
CB71B1147724;Bouygues;KB71O205175;BO Centre;pose;DP010176;23/01/2021;23/01/2021;23/01/2021
CB71B1147725;Bouygues;KB71O205176;BO Centre;pose;DP010177;17/05/2020;17/05/2020;17/05/2020
CB71B1147725;Bouygues;KB71O205177;BO Centre;pose;DP010178;06/04/2020;06/04/2020;06/04/2020
CB71B1147725;Bouygues;KB71O205178;BO Centre;pose;DP010179;15/02/2022;15/02/2022;15/02/2022
CB71B1147725;Bouygues;KB71O205179;BO Centre;pose;DP010180;22/10/2020;22/10/2020;22/10/2020
CB71B1147726;Bouygues;KB71O205180;BO Centre;pose;DP010181;30/10/2021;30/10/2021;30/10/2021
CB71B1147726;Bouygues;KB71O205181;BO Centre;pose;DP010182;28/05/2021;28/05/2021;28/05/2021
CB71B1147726;Bouygues;KB71O205182;BO Centre;pose;DP010183;20/05/2021;20/05/2021;20/05/2021
CB71B1147726;Bouygues;KB71O205183;BO Centre;pose;DP010184;11/06/2023;11/06/2023;11/06/2023
CB71B1147727;Bouygues;KB71O205184;BO Centre;pose;DP010185;11/05/2021;11/05/2021;11/05/2021
CB71B1147727;Bouygues;KB71O205185;BO Centre;pose;DP010186;03/08/2019;03/08/2019;03/08/2019
CB71B1147727;Bouygues;KB71O205186;BO Centre;pose;DP010187;25/07/2021;25/07/2021;25/07/2021
